X,Y,Z,Name,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D
103.678409741881,1.32561767794228,0,kml_1,15M0211,Acumed Medical Group,MC,"68615755","629117",B,"1","01","23",JOO KOON CIRCLE,FAIRPRICE HUB,"CDMP,CHAS",10760.19030171,34206.12386783,781AF3FC7E4D0301,"20210926121846"
103.626524577792,1.28909462597839,0,kml_2,16M0004,Acumed Medical Group,MC,"65701390","637370",B,"128","01","03",TUAS SOUTH AVENUE 3,JTC BIOMED ONE @ TUAS BIOMEDICAL PARK,"CDMP,CHAS",4985.53397365,30167.98804538,4132D1A643933D75,"20210926121846"
103.795692352825,1.33081740087421,0,kml_3,21M0229,Advantage Medical Clinic,MC,"87840093","268802",B,"1","03","12",FIFTH AVENUE,GUTHRIE HOUSE,CHAS,23812.58956922,34780.57533007,1429766D7056AA8D,"20210926121846"
103.870851534198,1.35403939788243,0,kml_4,19M0160,Affinity Medical Clinic,MC,"62808080","550253",A,"253","01","187",SERANGOON CENTRAL DRIVE,,"CDMP,CHAS,ISP",32176.99089858,37348.34529089,25E32F8453AEABFD,"20210926121846"
103.853929522028,1.31247324146379,0,kml_5,"9404401","Allergy, Arthritis & Rheumatism Clinic",MD,"64749438","217562",B,"1","14","13",FARRER PARK STATION ROAD,CONNEXION,"CDMP,CHAS",30293.80179285,32752.14975386,E04B63460D9DF892,"20210926121846"
103.931626253574,1.35522647099143,0,kml_6,17M0228,Allhealth Family Clinic,MC,"67026467","523872",A,872C,"01","01",TAMPINES STREET 86,,CHAS,38940.52504647,37479.79536068,5B0B49E22956F1B3,"20210926121846"
103.798227586732,1.29996199426432,0,kml_7,19M0341,Ally Health,MC,"66977700","140462",A,46-2,"01","372",COMMONWEALTH DRIVE,,"CDMP,CHAS,ISP",24094.68699586,31368.73817961,C5F9B14203C0367F,"20210926121846"
103.845949444676,1.37193729089468,0,kml_8,16M0043,Ang Mo Kio Family Medicine Clinic,MC,"65541133","569841",,"4190","03","01",ANG MO KIO AVENUE 6,BROADWAY PLAZA,"CDMP,CHAS,ISP",29405.66118025,39327.37454678,4A712102C8E400A3,"20210926121846"
103.882455638548,1.31277604579897,0,kml_9,16C0397,Anteh Dispensary Pte Ltd,MC,"67440040","398664",,"1","01","02",LORONG 22 GEYLANG,GRANDVIEW SUITES,CHAS,33468.48699051,32785.67660058,7E06EFB3781F029E,"20210926121846"
103.855103690664,1.36454170930926,0,kml_10,20M0227,Appletree Medical Centre,MC,"64548361","560416",A,"416","01","997",ANG MO KIO AVENUE 10,TECK GHEE HEARTLANDS,"CDMP,CHAS,ISP",30424.4244873,38509.61595566,68380F0447C3CEAD,"20210926121846"
103.784158787813,1.33356161107492,0,kml_11,14M0385,Aris Medical Clinic,MC,"64631197","589629",B,"989",,,BUKIT TIMAH ROAD,MAPLEWOODS,"CDMP,CHAS,ISP",22529.02868325,35084.03871453,83128B834E1E0719,"20210926121846"
103.833962340221,1.30450604608539,0,kml_12,"9404842",Asia HealthPartners,MC,"62357888","238863",B,"304","05","06",ORCHARD ROAD,LUCKY PLAZA,"CDMP,CHAS",28071.64465507,31871.16894201,7D947E8848FCBA14,"20210926121846"
103.836723874387,1.43576080433402,0,kml_13,12C0249,Atrio Family Clinic,MC,"67520838","760291",A,"291","01","349",YISHUN STREET 22,,"CDMP,CHAS",28378.95761251,46384.65236368,A9343D9D499713BE,"20210926121846"
103.738145286322,1.34302644245796,0,kml_14,"9400088",B S CHEW CLINIC,MC,"65678803","600252",A,"252","01","109",JURONG EAST ST 24,,"CDMP,CHAS",17408.24358642,36130.76291904,847A1CC60B7C7509,"20210926121846"
103.858181908966,1.33093933661869,0,kml_15,"9400089",B T GOH FAMILY CLINIC & SURGERY,MC,"63544535","310194",A,"194","01","406",KIM KEAT AVE,,"CDMP,CHAS",30767.03163903,34794.04031503,CFF27F8EAEA0CE95,"20210926121846"
103.914941831149,1.33295923548327,0,kml_16,"9400097",BALKIS FAMILY CLINIC,MC,"96153314","470631",A,"631","01","968",BEDOK RESERVOIR RD,,"CDMP,CHAS,ISP",37083.81960926,35017.52690881,DCE856F058F0AA59,"20210926121846"
